,topic,topic_url,username,repo_name,stars,repo_url
0,3D,https://github.com//topics/3d,mrdoob,three.js,83800,https://github.com//mrdoob/three.js
1,3D,https://github.com//topics/3d,libgdx,libgdx,20200,https://github.com//libgdx/libgdx
2,3D,https://github.com//topics/3d,pmndrs,react-three-fiber,18800,https://github.com//pmndrs/react-three-fiber
3,3D,https://github.com//topics/3d,BabylonJS,Babylon.js,17900,https://github.com//BabylonJS/Babylon.js
4,3D,https://github.com//topics/3d,aframevr,aframe,14400,https://github.com//aframevr/aframe
5,3D,https://github.com//topics/3d,ssloy,tinyrenderer,14200,https://github.com//ssloy/tinyrenderer
6,3D,https://github.com//topics/3d,lettier,3d-game-shaders-for-beginners,13400,https://github.com//lettier/3d-game-shaders-for-beginners
7,3D,https://github.com//topics/3d,FreeCAD,FreeCAD,11800,https://github.com//FreeCAD/FreeCAD
8,3D,https://github.com//topics/3d,metafizzy,zdog,9200,https://github.com//metafizzy/zdog
9,3D,https://github.com//topics/3d,CesiumGS,cesium,9000,https://github.com//CesiumGS/cesium
10,3D,https://github.com//topics/3d,timzhang642,3D-Machine-Learning,8100,https://github.com//timzhang642/3D-Machine-Learning
11,3D,https://github.com//topics/3d,a1studmuffin,SpaceshipGenerator,7200,https://github.com//a1studmuffin/SpaceshipGenerator
12,3D,https://github.com//topics/3d,isl-org,Open3D,7100,https://github.com//isl-org/Open3D
13,3D,https://github.com//topics/3d,blender,blender,6100,https://github.com//blender/blender
14,3D,https://github.com//topics/3d,domlysz,BlenderGIS,5400,https://github.com//domlysz/BlenderGIS
15,3D,https://github.com//topics/3d,spritejs,spritejs,4900,https://github.com//spritejs/spritejs
16,3D,https://github.com//topics/3d,openscad,openscad,4900,https://github.com//openscad/openscad
17,3D,https://github.com//topics/3d,tensorspace-team,tensorspace,4700,https://github.com//tensorspace-team/tensorspace
18,3D,https://github.com//topics/3d,jagenjo,webglstudio.js,4700,https://github.com//jagenjo/webglstudio.js
19,3D,https://github.com//topics/3d,YadiraF,PRNet,4600,https://github.com//YadiraF/PRNet
20,3D,https://github.com//topics/3d,google,model-viewer,4500,https://github.com//google/model-viewer
21,3D,https://github.com//topics/3d,AaronJackson,vrn,4400,https://github.com//AaronJackson/vrn
22,3D,https://github.com//topics/3d,ssloy,tinyraytracer,4200,https://github.com//ssloy/tinyraytracer
23,3D,https://github.com//topics/3d,FyroxEngine,Fyrox,4200,https://github.com//FyroxEngine/Fyrox
24,3D,https://github.com//topics/3d,mosra,magnum,4100,https://github.com//mosra/magnum
25,3D,https://github.com//topics/3d,tengbao,vanta,3900,https://github.com//tengbao/vanta
26,3D,https://github.com//topics/3d,gfxfundamentals,webgl-fundamentals,3700,https://github.com//gfxfundamentals/webgl-fundamentals
27,3D,https://github.com//topics/3d,cleardusk,3DDFA,3300,https://github.com//cleardusk/3DDFA
28,3D,https://github.com//topics/3d,jasonlong,isometric-contributions,3200,https://github.com//jasonlong/isometric-contributions
29,3D,https://github.com//topics/3d,cnr-isti-vclab,meshlab,3100,https://github.com//cnr-isti-vclab/meshlab
30,Ajax,https://github.com//topics/ajax,ljianshu,Blog,7200,https://github.com//ljianshu/Blog
31,Ajax,https://github.com//topics/ajax,metafizzy,infinite-scroll,7100,https://github.com//metafizzy/infinite-scroll
32,Ajax,https://github.com//topics/ajax,developit,unfetch,5400,https://github.com//developit/unfetch
33,Ajax,https://github.com//topics/ajax,jquery-form,form,5100,https://github.com//jquery-form/form
34,Ajax,https://github.com//topics/ajax,olifolkerd,tabulator,4800,https://github.com//olifolkerd/tabulator
35,Ajax,https://github.com//topics/ajax,Studio-42,elFinder,4300,https://github.com//Studio-42/elFinder
36,Ajax,https://github.com//topics/ajax,ded,reqwest,2900,https://github.com//ded/reqwest
37,Ajax,https://github.com//topics/ajax,dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server
38,Ajax,https://github.com//topics/ajax,elbywan,wretch,2400,https://github.com//elbywan/wretch
39,Ajax,https://github.com//topics/ajax,LeaVerou,bliss,2400,https://github.com//LeaVerou/bliss
40,Ajax,https://github.com//topics/ajax,wendux,ajax-hook,2100,https://github.com//wendux/ajax-hook
41,Ajax,https://github.com//topics/ajax,yisainan,web-interview,2100,https://github.com//yisainan/web-interview
42,Ajax,https://github.com//topics/ajax,noelboss,featherlight,2100,https://github.com//noelboss/featherlight
43,Ajax,https://github.com//topics/ajax,craftpip,jquery-confirm,1800,https://github.com//craftpip/jquery-confirm
44,Ajax,https://github.com//topics/ajax,ptaoussanis,sente,1600,https://github.com//ptaoussanis/sente
45,Ajax,https://github.com//topics/ajax,nette,tracy,1500,https://github.com//nette/tracy
46,Ajax,https://github.com//topics/ajax,joaomilho,Enterprise,1500,https://github.com//joaomilho/Enterprise
47,Ajax,https://github.com//topics/ajax,loadingio,css-spinner,1400,https://github.com//loadingio/css-spinner
48,Ajax,https://github.com//topics/ajax,codingforentrepreneurs,eCommerce,1300,https://github.com//codingforentrepreneurs/eCommerce
49,Ajax,https://github.com//topics/ajax,k8w,tsrpc,1200,https://github.com//k8w/tsrpc
50,Ajax,https://github.com//topics/ajax,danielm,uploader,1100,https://github.com//danielm/uploader
51,Ajax,https://github.com//topics/ajax,swlib,saber,960,https://github.com//swlib/saber
52,Ajax,https://github.com//topics/ajax,proyecto26,RestClient,951,https://github.com//proyecto26/RestClient
53,Ajax,https://github.com//topics/ajax,opensource-socialnetwork,opensource-socialnetwork,877,https://github.com//opensource-socialnetwork/opensource-socialnetwork
54,Ajax,https://github.com//topics/ajax,webcreate,infinite-ajax-scroll,863,https://github.com//webcreate/infinite-ajax-scroll
55,Ajax,https://github.com//topics/ajax,rapidjs,rapid.js,710,https://github.com//rapidjs/rapid.js
56,Ajax,https://github.com//topics/ajax,karosLi,KKJSBridge,592,https://github.com//karosLi/KKJSBridge
57,Ajax,https://github.com//topics/ajax,cferdinandi,atomic,539,https://github.com//cferdinandi/atomic
58,Ajax,https://github.com//topics/ajax,GoogTech,sms-ssm,524,https://github.com//GoogTech/sms-ssm
59,Ajax,https://github.com//topics/ajax,dashborg,hibiki,423,https://github.com//dashborg/hibiki
60,Algorithm,https://github.com//topics/algorithm,jwasham,coding-interview-university,226000,https://github.com//jwasham/coding-interview-university
61,Algorithm,https://github.com//topics/algorithm,CyC2018,CS-Notes,155000,https://github.com//CyC2018/CS-Notes
62,Algorithm,https://github.com//topics/algorithm,trekhleb,javascript-algorithms,146000,https://github.com//trekhleb/javascript-algorithms
63,Algorithm,https://github.com//topics/algorithm,TheAlgorithms,Python,141000,https://github.com//TheAlgorithms/Python
64,Algorithm,https://github.com//topics/algorithm,yangshun,tech-interview-handbook,74800,https://github.com//yangshun/tech-interview-handbook
65,Algorithm,https://github.com//topics/algorithm,kdn251,interviews,57700,https://github.com//kdn251/interviews
66,Algorithm,https://github.com//topics/algorithm,azl397985856,leetcode,48800,https://github.com//azl397985856/leetcode
67,Algorithm,https://github.com//topics/algorithm,TheAlgorithms,Java,47000,https://github.com//TheAlgorithms/Java
68,Algorithm,https://github.com//topics/algorithm,algorithm-visualizer,algorithm-visualizer,38000,https://github.com//algorithm-visualizer/algorithm-visualizer
69,Algorithm,https://github.com//topics/algorithm,youngyangyang04,leetcode-master,29700,https://github.com//youngyangyang04/leetcode-master
70,Algorithm,https://github.com//topics/algorithm,crossoverJie,JCSprout,26700,https://github.com//crossoverJie/JCSprout
71,Algorithm,https://github.com//topics/algorithm,halfrost,LeetCode-Go,26000,https://github.com//halfrost/LeetCode-Go
72,Algorithm,https://github.com//topics/algorithm,donnemartin,interactive-coding-challenges,25800,https://github.com//donnemartin/interactive-coding-challenges
73,Algorithm,https://github.com//topics/algorithm,huihut,interview,25000,https://github.com//huihut/interview
74,Algorithm,https://github.com//topics/algorithm,keon,algorithms,21300,https://github.com//keon/algorithms
75,Algorithm,https://github.com//topics/algorithm,TheAlgorithms,JavaScript,21200,https://github.com//TheAlgorithms/JavaScript
76,Algorithm,https://github.com//topics/algorithm,TheAlgorithms,C-Plus-Plus,20200,https://github.com//TheAlgorithms/C-Plus-Plus
77,Algorithm,https://github.com//topics/algorithm,trekhleb,homemade-machine-learning,19500,https://github.com//trekhleb/homemade-machine-learning
78,Algorithm,https://github.com//topics/algorithm,mxgmn,WaveFunctionCollapse,19400,https://github.com//mxgmn/WaveFunctionCollapse
79,Algorithm,https://github.com//topics/algorithm,AtsushiSakai,PythonRobotics,15700,https://github.com//AtsushiSakai/PythonRobotics
80,Algorithm,https://github.com//topics/algorithm,greyireland,algorithm-pattern,13600,https://github.com//greyireland/algorithm-pattern
81,Algorithm,https://github.com//topics/algorithm,williamfiset,Algorithms,13100,https://github.com//williamfiset/Algorithms
82,Algorithm,https://github.com//topics/algorithm,OpenGenus,cosmos,13000,https://github.com//OpenGenus/cosmos
83,Algorithm,https://github.com//topics/algorithm,halfrost,Halfrost-Field,11300,https://github.com//halfrost/Halfrost-Field
84,Algorithm,https://github.com//topics/algorithm,apachecn,apachecn-algo-zh,10600,https://github.com//apachecn/apachecn-algo-zh
85,Algorithm,https://github.com//topics/algorithm,lnishan,awesome-competitive-programming,10000,https://github.com//lnishan/awesome-competitive-programming
86,Algorithm,https://github.com//topics/algorithm,Blankj,awesome-java-leetcode,8400,https://github.com//Blankj/awesome-java-leetcode
