S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Sunrise Debenture 2080,2,935.00,935.00,935.00,425.00,397375.00,940.00,-5.00 
2,10.25% Prabhu Bank  Debenture 2086,2,921.00,920.50,920.50,100.00,92080.00,938.90,-18.40 
3,12% ICFC Finance Limited Debenture 2083,3,1025.20,1025.10,1025.10,85.00,87134.50,1046.00,-20.90 
4,8.5% BOK Debenture 2086,2,766.10,766.00,766.00,50.00,38302.50,780.00,-14.00 
5,8.5% Nepal Investment Bank Debenture 2084,1,812.00,812.00,812.00,25.00,20300.00,827.90,-15.90 
6,9.5% NCC Debenture 2086,1,902.60,902.60,902.60,25.00,22565.00,921.00,-18.40 
7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,17,867.00,833.00,835.20,230.00,192922.70,850.00,-14.80 
8,Agricultural Development Bank Limited,222,332.10,320.00,320.00,73821.00,24021749.60,326.00,-6.00 
9,Ankhu Khola Jalvidhyut Company Ltd,144,204.00,195.20,197.00,23923.00,4739327.70,200.20,-3.20 
10,Api Power Company Ltd.,624,252.00,241.50,242.10,104625.00,25507294.50,248.00,-5.90 
11,Arun Kabeli Power Ltd.,423,461.00,446.00,448.50,75883.00,34248465.80,457.00,-8.50 
12,Arun Valley Hydropower Development Co. Ltd.,321,354.00,343.00,343.10,64099.00,22228509.40,352.00,-8.90 
13,Asha Laghubitta Bittiya Sanstha Ltd,14,1278.00,1242.10,1242.10,391.00,489816.10,1264.00,-21.90 
14,Asian Life Insurance Co. Limited,161,582.90,564.10,571.00,34897.00,19891044.80,575.00,-4.00 
15,Balephi Hydropower Limited,69,244.00,233.50,239.00,2640.00,627557.00,243.00,-4.00 
16,Barun Hydropower Co. Ltd.,77,292.70,284.20,285.00,10901.00,3117147.50,289.00,-4.00 
17,Best Finance Company Ltd.,104,388.00,370.00,372.50,12242.00,4595578.00,381.00,-8.50 
18,Bishal Bazar Company Limited,7,3690.00,3610.40,3660.00,89.00,324384.00,3684.00,-24.00 
19,Bottlers Nepal (Terai) Limited,6,13470.00,13000.00,13000.00,85.00,1119909.00,13250.00,-250.00 
20,Buddha Bhumi Nepal Hydropower Company Limited,28,376.30,355.00,358.00,2725.00,980726.00,369.00,-11.00 
